grid_id,final_score_citywide,score_source,driver_place,geometry
5*5*9*0*,5.958981909494895,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.96717948851096 37.57573113696486, 126.96717929078957 37.57618163414448, 126.96661326722777 37.576181475419645, 126.96661346835907 37.57573097824258, 126.96717948851096 37.57573113696486))"
5*1*8*9*,5.9574730464,PLACE_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.99507914998449 37.606343271682896, 126.99507912030697 37.60679376659256, 126.99451286476531 37.60679374162333, 126.99451289785789 37.606343246714054, 126.99507914998449 37.606343271682896))"
5*3*2*3*,5.948606405865771,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.96238216725328 37.57300255026194, 126.96238194065357 37.57345304762706, 126.96181593777325 37.573452865911214, 126.96181616778242 37.57300236854903, 126.96238216725328 37.57300255026194))"
5*6*9*3*,5.919818951054575,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.98474320028171 37.57488644830826, 126.98474310837258 37.575336945610616, 126.98417709113016 37.57533687110172, 126.98417718644902 37.57488637380058, 126.98474320028171 37.57488644830826))"
5*5*2*6*,5.919221111550834,HYBRID_PROPAGATED,Gwanghwamun & Deoksugung Palace,"POLYGON ((126.97862145388959 37.5688374721162, 126.9786213251303 37.56928796986589, 126.9780553536851 37.56928786601925, 126.97805548585312 37.56883736827124, 126.97862145388959 37.5688374721162))"
5*6*7*8*,5.913673,BASE_ONLY,,"POLYGON ((126.99050658160071 37.6118779375407, 126.99050652433472 37.61232843202227, 126.98994022683635 37.612328385107425, 126.98994028751835 37.61187789062661, 126.99050658160071 37.6118779375407))"
5*9*5*4*,5.909955,BASE_ONLY,,"POLYGON ((126.98656698013059 37.61112996568656, 126.98656689910237 37.61158046021915, 126.98600060728374 37.611580394400455, 126.98600069172782 37.61112989986892, 126.98656698013059 37.61112996568656))"
5*0*2*7*,5.897864269987935,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.99829654429384 37.57758543484219, 126.99829653403097 37.578035931953856, 126.99773049633795 37.57803592242871, 126.997730510011 37.5775854253172, 126.99829654429384 37.57758543484219))"
5*7*6*2*,5.8834667,BASE_ONLY,,"POLYGON ((126.96342234629272 37.612859837151106, 126.96342212564194 37.61331033147167, 126.96285582080756 37.613310154583694, 126.96285604487448 37.61285966026599, 126.96342234629272 37.612859837151106))"
5*4*6*0*,5.873386728545226,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.9841962997558 37.5700269864366, 126.98419620456876 37.57047748410955, 126.98363022410437 37.57047740698696, 126.98363032270034 37.57002690931525, 126.9841962997558 37.5700269864366))"
5*1*2*8*,5.867696846801073,HYBRID_PROPAGATED,Gwanghwamun & Deoksugung Palace,"POLYGON ((126.97525002660201 37.56923940980467, 126.97524987753505 37.569689907512924, 126.97468390306216 37.56968978750236, 126.97468405553792 37.569239289796066, 126.97525002660201 37.56923940980467))"
5*9*6*8*,5.862900756648061,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.96333935168568 37.57285921826848, 126.96333913085292 37.57330971564948, 126.96277312905117 37.573309538523446, 126.96277335329336 37.572859041145314, 126.96333935168568 37.57285921826848))"
5*8*1*1*,5.860166044999413,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.95822579853717 37.576197926863514, 126.95822554687159 37.57664842396148, 126.95765951983486 37.576648222303334, 126.95765977491038 37.57619772520863, 126.95822579853717 37.576197926863514))"
