"가맹점집계구코드(TOT_REG_CD)","외국인관광업종코드(SF_UPJONG_CD)","기준년월(TS_YM)","일별(TS_YMD)","국가별(COUNTRY_ENG_NM)","카드이용금액계(AMT_CORR)","카드이용건수(USECT_CORR)"
"1122057020007","SF071841","201907","20190702","ETC",4000,2
"1121057020002","SF020816","202008","20200829","중국",15000,1
"1122052020002","SF010408","201705","20170507","미국",15900,2
"1114066060002","SF010305","201704","20170409","미국",38300,1
"1124053020001","SF010101","202107","20210718","일본",80000,3
"1119054050002","SF020816","202008","20200812","미국",9000,11
"1101063020001","SF010203","202009","20200916","ETC",8000,1
"1115059030026","SF010408","202102","20210213","일본",1500,1
"1124052020002","SF020816","201712","20171216","일본",8600,1
"1121080020003","SF010305","202005","20200504","홍콩",558206.14,1
"1113076050001","SF010305","202001","20200117","일본",3800,1
"1123066010001","SF031020","202103","20210307","ETC",10300,2.86
"1105067010005","SF010101","201703","20170306","일본",13520,1
"1125067020002","SF020816","201702","20170215","미국",10500,3
"1106082020001","SF082148","201704","20170410","중국",24000,2
"1120067020005","SF010408","202102","20210204","미국",9500,1
"1103052020006","SF010202","201811","20181106","미국",4565252.8,1
"1114071010010","SF010101","201906","20190624","러시아",1800,5
"1110055050003","SF010203","202008","20200812","ETC",2400,1
"1108083010005","SF051432","202001","20200123","미국",71500,1
"1107069020001","SF010101","202010","20201029","일본",8500,2
"1114066080002","SF020816","201707","20170704","ETC",3800,1
"1104052010002","SF010408","201712","20171211","미국",23400,1
"1102057020007","SF020816","201709","20170919","일본",24000,1
"1121061010009","SF010305","201702","20170219","영국",19300,1
"1119054030002","SF010408","201802","20180219","미국",42000,2.86
"1111079050002","SF020816","201709","20170903","미국",4500,2.86
"1119076010004","SF071841","201709","20170913","미국",1190400,1
"1103069010101","SF010408","202106","20210604","미국",7200,1
"1106086030001","SF010306","202001","20200124","ETC",43000,2
"1103071040003","SF010305","201809","20180914","미국",72000,1
"1114066070002","SF010408","201701","20170117","미국",129500,1
"1114071040007","SF010408","202104","20210429","영국",519890,2
"1121069020002","SF010408","202005","20200521","미국",19000,1
"1124064010019","SF010408","201807","20180726","미국",10000,5
"1125051010002","SF010306","201811","20181105","영국",23400,1
"1115066040001","SF020816","201807","20180712","일본",3800,1
"1106072040008","SF010408","201711","20171102","ETC",285000,1
"1119062010002","SF112555","201808","20180820","대만",950,2
"1120065010005","SF010101","202009","20200919","ETC",1667201.48,1
"1123065040005","SF020612","201808","20180810","영국",63320,2
"1101073020004","SF082046","201902","20190217","미국",2200,5
"1124080020103","SF010408","201912","20191221","홍콩",12500,2
"1101061030002","SF010203","201906","20190612","홍콩",3600,1
"1116064050004","SF010101","201909","20190928","미국",4500,2.86
"1102059020001","SF020816","201903","20190317","미국",252450,2
"1106071010002","SF010408","201803","20180331","ETC",106800,1
"1104055030002","SF061535","201712","20171208","미국",26600,2
"1103053010001","SF082045","201706","20170616","홍콩",26620,2
"1123058030001","SF020816","201809","20180918","미국",17000,5.71
"1108065010905","SF010306","201807","20180721","ETC",7220,2.86
"1122054010001","SF020816","202008","20200806","미국",11300,1
"1123052020002","SF010101","201911","20191128","ETC",10400,2
"1124065030002","SF020713","202007","20200723","미국",8000,1
"1113076050001","SF041222","201702","20170212","미국",40550,2
"1122055050004","SF020816","202004","20200428","ETC",11300,1
"1119054030002","SF010202","201703","20170321","일본",8700,4
"1123064040004","SF010408","201910","20191028","미국",10000,1
"1103071040004","SF031020","201801","20180101","ETC",12600,1
"1122054010001","SF112555","202009","20200905","대만",57800,1
"1123053030501","SF010101","201901","20190121","ETC",25000,1
"1102059020001","SF020816","201908","20190829","미국",30000,1
"1123066010004","SF010306","201910","20191019","영국",4000,1
"1122053030005","SF041121","202107","20210727","미국",1052300,1
"1125072020025","SF020713","201912","20191230","일본",34500,1
"1106089010008","SF071841","201701","20170104","중국",18270,1
"1123052020023","SF010202","201803","20180322","미국",17500,2
"1123075010001","SF010101","202009","20200907","ETC",1800,1
"1122054030001","SF061535","201912","20191223","ETC",950,1
"1123053020005","SF010408","201904","20190420","ETC",27900,1
"1114071030001","SF010408","201710","20171009","ETC",24500,2
"1113075040006","SF020816","202001","20200110","미국",7000,1
"1103073020004","SF082148","201710","20171021","ETC",135387,1
"1123058030001","SF051330","201803","20180315","미국",250000,1
"1106084010004","SF010101","201907","20190727","영국",23620,1
"1113075030011","SF061536","201701","20170129","영국",16200,1
"1123053010008","SF010408","201702","20170226","ETC",7933600,3
"1116054030001","SF010408","201904","20190405","ETC",3500,2.86
"1114068040006","SF020713","201806","20180621","중국",41000,2
"1122060010001","SF010307","201812","20181229","미국",2192770,2
"1123078010004","SF020612","201806","20180614","미국",16000,1
"1123064020003","SF010408","201711","20171113","미국",24010,2
"1102055040001","SF041121","201901","20190110","미국",38300,9
"1114066080001","SF051434","202001","20200106","미국",3800,1
"1104055020012","SF020612","201804","20180402","미국",22000,1
"1102059010001","SF010408","201809","20180903","미국",220665.79,5
"1123078020001","SF031019","201707","20170731","일본",18900,1
"1121061010015","SF020816","202012","20201229","미국",79600,1
"1123051020003","SF010408","201812","20181226","미국",1700,1
"1103065030004","SF010202","201710","20171007","러시아",6900,2
"1123051030005","SF051331","201805","20180516","미국",7000,1
"1108083040003","SF010101","202103","20210311","미국",26600,3
"1114068010702","SF051433","202007","20200714","중국",147390,1
"1124056010008","SF082148","201708","20170831","미국",7000,1
"1105059010002","SF020714","202007","20200709","미국",55281.62,1
"1124063020033","SF010305","201701","20170125","홍콩",490000,1
"1120053010009","SF010408","201701","20170128","미국",3900,1
"1113075020003","SF082148","201710","20171003","대만",21300,2
"1124071040004","SF010305","202101","20210112","일본",99000,1
