grid_id,lon,lat,base_score
5*2*8*9*,200740.417573299,553008.237706395,4.3689814
5*2*9*0*,197786.9982669976,554733.0223622102,4.152464
5*2*9*1*,199739.414502593,554424.095789434,4.3624477
5*2*9*2*,197139.3267174325,553759.2488906351,2.4231124
5*2*9*3*,198390.561351747,557351.04511907,5.7510543
5*2*9*4*,197916.672465565,552091.823920392,5.574264
5*2*9*8*,195998.189247864,553815.627867877,5.7875485
5*2*9*9*,197737.946254732,553184.269012185,3.3342862
5*3*0*3*,197088.00917494,557441.99610316,5.619278
5*3*0*4*,199119.254373336,553353.432175742,5.037976
5*3*0*5*,199924.521109282,553976.249189595,5.908238
5*3*0*9*,196002.97537353,554838.449360089,5.268019
5*3*1*0*,197800.727649603,553050.794450944,4.0044336
5*3*1*1*,198085.266456495,555686.796482703,3.5177631
5*3*1*2*,199830.373883769,553818.81696754,5.373035
5*3*1*4*,197545.398546237,552841.729233148,5.7393694
5*3*1*6*,199895.250454428,552440.206315216,5.0835233
5*3*2*1*,197187.9985927735,555700.354208968,3.4183998
5*3*2*3*,196651.867463204,552632.175622171,5.881951
5*3*2*5*,196830.04151556632,553309.4602474687,2.7594829
5*3*2*6*,196387.50479206,554707.597566686,2.8813663
5*3*3*1*,200593.083264328,556692.578331063,5.0382295
5*3*3*2*,200889.877412559,557287.219144808,4.3642077
5*3*3*6*,197421.497937952,557061.703464851,2.671169
5*3*3*7*,197483.195189973,554129.961023369,3.5026217
5*3*3*8*,197388.51789029036,554553.8849590867,3.8444018
5*3*3*9*,197308.736699028,554342.735884071,3.5124288
5*3*4*1*,200440.966644176,557010.109663042,4.840327
5*3*4*2*,199008.616887931,554562.3838496904,3.6373467
5*3*4*3*,200492.02643723,556005.919111755,5.6705046
5*3*4*4*,199575.605475616,557185.098435393,5.4870324
5*3*4*5*,197452.877671325,555733.071001814,3.4763985
5*3*4*6*,197131.608307128,556458.275597236,3.2081385
5*3*6*0*,196787.2228586285,555353.8317946695,3.8522701
5*3*6*1*,197087.2101917425,554347.2395930515,3.5410676
5*3*6*2*,197906.035715114,553003.451834135,3.3859496
5*3*6*3*,196662.501958309,557792.50452563,5.0067887
5*3*6*5*,197712.1573992525,555517.9179202355,3.6125557
5*3*6*6*,197466.170208708,556442.063298688,3.0762212
5*3*6*7*,198418.501657004,555015.563454571,3.561503
5*3*6*8*,197802.314181737,556046.8752084695,3.5150006
5*3*6*9*,196861.42149745967,555333.2637328113,4.114263
5*3*7*2*,195983.828228869,553406.617763619,5.91357
5*3*7*3*,198916.86935469048,556175.583584311,3.9166937
5*3*7*4*,197127.720506217,555933.7623157584,3.6301987
5*3*7*6*,197133.21833617,554228.36039889,3.1934686
5*3*8*2*,197255.5442375005,552954.785423555,3.1210854
5*3*8*3*,197444.63466375548,552619.6872500305,3.131417
5*3*8*4*,200172.911397575,553000.797717783,5.37565
5*3*8*5*,197740.07185499,558147.268912474,4.838576
5*3*8*6*,197492.213723269,556748.956989372,2.2807028
5*3*8*8*,196432.201478528,556598.435036974,6.0548615
5*3*8*9*,198015.5853965865,556505.6143349386,3.75169
5*3*9*0*,197735.1892013934,553890.9511626634,4.298562
5*3*9*1*,197059.4180793775,554542.0514312965,4.12179
5*3*9*2*,201236.137245061,553040.654975525,4.367599
5*3*9*5*,197182.683040333,553024.712020292,5.5325837
5*3*9*8*,197027.3631146,553875.1921573,2.714809
5*4*0*0*,195933.815627868,555397.450695713,5.626757
5*4*0*1*,198377.806551686,554421.969458573,3.5781994
5*4*0*2*,197331.0686475705,554665.587479144,3.6447089
5*4*0*5*,196709.293936608,552889.359037714,5.950113
5*4*0*6*,198084.745244306,553040.407546037,2.6114314
5*4*0*9*,201538.245766726,556937.774862494,4.6564717
5*4*1*0*,196035.95258974,553621.486775796,6.047371
5*4*1*1*,197024.180723098,556188.357676496,2.9473462
5*4*1*2*,196539.088820942,555801.678121491,2.0675564
5*4*1*3*,197953.90821338104,554187.1493899005,3.8900816
5*4*1*4*,198717.419395487,555140.0122303155,3.9336457
5*4*1*6*,197241.190638631,553744.902114962,2.7842753
5*4*1*8*,198764.4929793615,557020.7469433451,2.8231523
5*4*2*1*,197793.788191576,557292.538078078,5.9854484
5*4*2*2*,198184.728585176,553232.140273062,3.2272766
5*4*2*3*,199675.06927366,553716.1623216355,3.4700499
5*4*2*6*,197786.880166518,555002.261919568,3.559731
5*4*2*7*,196934.810522905,554149.659456792,3.0091882
5*4*2*8*,196524.207537919,556003.260341442,4.2209187
5*4*3*0*,200382.9982632,552666.762292443,4.8181996
5*4*3*3*,196362.7827920545,554314.5229802586,3.8527932
5*4*3*7*,196427.403534198,556198.993161623,5.548395
5*4*3*8*,199121.912322467,556481.423821673,5.0178504
5*4*3*9*,198291.77474540475,556121.4645900701,3.0216522
5*4*4*1*,198665.5547912065,557284.5599427385,2.942725
5*4*4*2*,197700.5465805727,554398.388145638,3.6098447
